Gender,Height,Weight
Male,174.2,80.3
Male,165.7,84.1
Male,163.4,80.5
Male,174.6,77
Male,184.1,90.1
Male,170.8,92.2
Male,170.8,87.6
Male,165.4,80.8
Male,168.3,73.8
Male,172,72.3
Male,166.4,78.1
Male,177.5,91.6
Male,173.9,77.3
Male,183.4,93.2
Male,173.2,77
Male,182.8,90.9
Male,167.8,81
Male,169.3,76.2
Male,171.7,80.6
Male,173.3,87.7
Male,164.6,73.7
Male,171.4,83.2
Male,173.2,82.1
Male,176.7,95.6
Male,168.7,75.1
Male,169.1,89
Male,182.7,91.6
Male,173.4,77.3
Male,177.7,91.6
Male,182.5,87.7
Male,167,81.6
Male,170.3,71
Male,194.8,106.6
Male,184.3,104.6
Male,177.1,92.5
Male,184.9,99
Male,184.2,101
Male,183.6,94.6
Male,170.8,82
Male,192.9,105.2
Male,168.4,77.4
Male,180.7,85.4
Male,180.8,88.9
Male,183.4,97.3
Male,190.9,101.7
Male,163.6,71.9
Male,164.4,75.5
Male,161.1,72.6
Male,172.3,79.9
Male,167.5,79.1
Male,180.3,88
Male,171.7,84.8
Male,174.2,78.7
Male,178.6,87.7
Male,183.9,94.5
Male,179.9,93.5
Male,167.4,78.3
Male,190,105.5
Male,171.9,80.4
Male,170.6,79.7
Male,182.3,96.4
Male,164.2,75.7
Male,173,89.1
Male,169.6,75
Male,169.7,80.1
Male,172.4,79.2
Male,175.7,88.6
Male,178.4,93.3
Male,164.7,71.8
Male,172.3,76.7
Male,161.1,61.5
Male,182.5,99
Male,169.5,70.7
Male,182.8,91.4
Male,193.1,107
Male,181.5,88.6
Male,171.1,80.1
Male,179.2,90
Male,177.5,84.2
Male,172.6,80.4
Male,188.2,97.9
Male,175.7,84.8
Male,169.1,77.8
Male,169.4,78.4
Male,170.8,76.3
Male,175.4,74.3
Male,179.5,86.2
Male,166.4,71.2
Male,165.6,78.3
Male,171.6,76.7
Male,187.5,104.9
Male,181.9,94
Male,172,78.1
Male,173.3,90.6
Male,167.5,76.2
Male,181.7,89.7
Male,175.7,89.3
Male,174.2,81.7
Male,180.5,85.8
Male,161.7,71.9
Male,180.8,94.8
Male,168,84.9
Male,165.2,71.5
Male,173,82.4
Male,180.3,92.9
Male,188.5,104.8
Male,176.1,84.5
Male,164.9,82.1
Male,173.6,90.2
Male,180.2,92.2
Male,156.2,73
Male,174,86.1
Male,183,90.8
Male,184.2,100.6
Male,180.9,97.1
Male,183.5,91.5
Male,171.6,84.9
Male,183.6,89.1
Male,159,68.8
Male,168.2,75.9
Male,176.9,90.2
Male,176,81.1
Male,179.6,87.8
Male,174.8,89.7
Male,167.7,83.7
Male,168.7,70.4
Male,169.2,73
Male,172.8,85.8
Male,179.1,78.5
Male,175.7,88.9
Male,179.8,97.9
Male,165.6,75.6
Male,190,108.6
Male,180.5,83.6
Male,176.1,90.7
Male,177.5,86.8
Male,163.6,76.7
Male,172.3,88.3
Male,171.6,83.1
Male,189.9,95.4
Male,181.4,89.8
Male,170.5,78.3
Male,177.4,89.4
Male,173.8,86.4
Male,172.6,83.7
Male,174,81.6
Male,165.7,72.3
Male,178.3,89.8
Male,180.6,98.6
Male,173.9,85.2
Male,166.2,80.2
Male,172,84
Male,188.5,101.3
Male,180.8,93.9
Male,170.8,77.6
Male,172.4,79.5
Male,171.1,78.6
Male,174.7,82.2
Male,182.1,91.9
Male,176.2,90.7
Male,187.2,101.4
Male,176.4,99.5
Male,179.8,95.8
Male,182.3,91.1
Male,176.1,94.7
Male,165.8,73.2
Male,180.1,94.3
Male,174.2,82
Male,174.3,80.2
Male,176.5,88.3
Male,167.5,73.9
Male,174,78.6
Male,187.8,97.8
Male,180.8,95.3
Male,169.1,83.9
Male,182.2,85.3
Male,177.2,85.4
Male,169.5,81.4
Male,177,96
Male,178.8,89.7
Male,175.3,84.5
Male,164.4,75.3
Male,180.3,85.6
Male,163.7,73.2
Male,177.2,87.8
Male,181.7,85.9
Male,173.6,94.2
Male,179.7,90.4
Male,181.4,95.2
Male,176.3,81.7
Male,182.9,89
Male,175.7,85.9
Male,168.1,75.1
Male,170.9,82.7
Male,180.1,86
Male,175.6,86
Male,171.2,77.2
Male,185.3,98
Male,179,80.3
Male,175.3,88.9
Male,169.6,76.1
Male,175.6,81.5
Male,185.7,100.1
Male,171.4,74.5
Male,165,71
Male,172.2,83.3
Male,171.9,77.2
Male,168.9,76.5
Male,185.4,95.1
Male,176.7,88.6
Male,180.3,88.1
Male,177.6,99.5
Male,182.1,93.1
Male,171.8,81.1
Male,173.5,82.4
Male,174.5,92.3
Male,175,74.9
Male,175.2,89.8
Male,170.8,78.6
Male,175,83.4
Male,167.2,63.3
Male,164.3,72.7
Male,168.4,74.2
Male,170.4,88
Male,170.2,86.1
Male,180.2,83.6
Male,173.8,86.5
Male,171.8,85.4
Male,192.1,102.6
Male,179.2,89.8
Male,175,86.4
Male,173.4,79.9
Male,165.1,80.6
Male,166.6,78.8
Male,176,95.5
Male,166.9,77.2
Male,172.2,78.7
Male,175.8,83.9
Male,172.8,88.1
Male,157.3,67.7
Male,170.9,87.3
Male,171.9,81.5
Male,177.7,92
Male,165.9,74.1
Male,182.6,98.4
Male,168.2,83.1
Male,167.2,75.6
Male,185,93.1
Male,180.2,86
Male,181.2,99.1
Male,180.5,92.1
Male,157.3,63.5
Male,174.7,89
Male,171.7,81.6
Male,171.1,74.5
Male,167.3,76.3
Male,174.5,86.1
Male,176.6,88.5
Male,169.3,86.4
Male,177.3,92.7
Male,174.4,89
Male,181.9,95.1
Male,177,86.6
Male,180.1,89.8
Male,172.7,84.7
Male,179.4,85.6
Male,181.8,80
Male,185.5,95
Male,154.3,61.8
Male,175.5,86.6
Male,176.1,86.8
Male,172.1,83.9
Male,193.1,105.4
Male,183.5,91.5
Male,175.1,85.4
Male,166,79.2
Male,167.5,83.4
Male,179,85.1
Male,185.9,97
Male,174.1,79.5
Male,174.1,76.9
Male,161.5,65.6
Male,170.5,79.7
Male,179.9,89.4
Male,186.8,101.1
Male,168,75
Male,172.5,77.3
Male,181.4,98.3
Male,170.5,78.8
Male,186.1,98.8
Male,161.7,73
Male,175.8,87.9
Male,177,80.3
Male,179,92.9
Male,175.3,80.2
Male,173.9,87.4
Male,167.7,75.7
Male,176.1,84.7
Male,175.5,85.5
Male,186.8,94.5
Male,167.9,73.3
Male,186.8,97.5
Male,177,93
Male,169.4,83.1
Male,185.3,94.8
Male,173.3,94.3
Male,182.8,95.6
Male,180.5,92.7
Male,170.1,88.5
Male,173.9,86.5
Male,181.1,90.6
Male,165.1,75.7
Male,169.6,81.1
Male,174.7,84.3
Male,175.2,87.9
Male,181.1,103.8
Male,175.4,87.2
Male,169,79.8
Male,174,79.9
Male,171.3,80.5
Male,181.2,91.5
Male,174.2,80.2
Male,177.1,84.2
Male,177.4,85.3
Male,183.9,85.9
Male,166.2,75.3
Male,168.3,77.2
Male,177.7,96.5
Male,180.9,89
Male,177.6,91.8
Male,181.3,91.3
Male,164.1,71.9
Male,174.7,79.1
Male,173.9,83.4
Male,175.8,85.3
Male,176.3,79.9
Male,176.8,88.1
Male,185.1,88.1
Male,157.9,66.2
Male,174.9,87
Male,180.5,95.2
Male,183.3,91.3
Male,183,94.7
Male,171.1,82.9
Male,172.6,75.5
Male,179.8,87.7
Male,166.5,80.9
Male,178.3,93.4
Male,182.3,90.4
Male,173.1,87.1
Male,173.6,79.5
Male,167.9,77.1
Male,181.8,93.1
Male,186.8,88.9
Male,180.6,94.4
Male,179.8,92
Male,182.2,85.5
Male,160.5,73.7
Male,173,82.9
Male,167.3,71.4
Male,173.6,81
Male,176.7,84.9
Male,174.6,77.8
Male,178.2,91
Male,175.1,88
Male,163.3,70.5
Male,179,87.3
Male,174.3,72.5
Male,176.9,79.9
Male,175.4,77.9
Male,170.8,82.4
Male,167.9,77.7
Male,174.3,81.3
Male,175.9,85
Male,176.9,82.6
Male,184.9,97.3
Male,190.6,94.6
Male,180.3,86.3
Male,188.9,98.5
Male,163.5,70.8
Male,181.2,93.6
Male,170.6,80.8
Male,189,103.8
Male,162.2,79.1
Male,175,74.5
Male,183.2,96.2
Male,173.7,93.4
Male,165.3,75.9
Male,175.8,88.5
Male,182.7,94.9
Male,171.4,82.7
Male,176.1,86.3
Male,161.9,72.7
Male,154.1,58.6
Male,179.5,88.7
Male,171.7,84.7
Male,189.6,103.2
Male,179,89.4
Male,182.7,95.1
Male,188,95.1
Male,179.8,100
Male,164.4,76.8
Male,173.7,84.3
Male,181.5,87.4
Male,170,80.3
Male,179.8,90.7
Male,165.8,76.5
Male,156.9,56
Male,158.7,72.7
Male,172.2,89.4
Male,176.6,73.5
Male,184.2,91.5
Male,179,88.4
Male,169.4,73.7
Male,181.1,79.7
Male,182.4,95
Male,185.6,92.7
Male,174.9,95.6
Male,167.8,76.8
Male,187.9,101.3
Male,175.9,87.5
Male,176.1,78.4
Male,180.3,86.9
Male,161.4,71.3
Male,177.2,82.9
Male,165.6,68.9
Male,177.7,87.7
Male,177.2,84.1
Male,180.8,88.6
Male,179.3,79
Male,166.8,74.7
Male,170.5,74.3
Male,167.4,79.3
Male,187.4,96.6
Male,172.1,78.4
Male,166.5,78
Male,180.9,88.9
Male,166.6,79.3
Male,166.8,79.2
Male,157.4,63.6
Male,187.7,97.8
Male,183.7,97.9
Male,178.6,83.6
Male,170.5,76.3
Male,167.5,68.7
Male,170.8,84.4
Male,178.1,92.2
Male,190.1,101.6
Male,163.9,67.3
Male,177.9,94
Male,182.5,93.1
Male,185,95
Male,186.2,90.3
Male,168.6,74.9
Male,168.9,82
Male,176,91.8
Male,173.3,88.6
Male,178.9,83.6
Male,177.1,85.5
Male,166.4,71.3
Male,175.6,89.2
Male,187.1,94.5
Male,167.4,71.8
Male,173.6,83.7
Male,178.9,89.8
Male,183.1,92
Male,182.1,90.3
Male,167,70.9
Male,162.3,76.3
Male,178.6,91.4
Male,167.1,79.2
Male,177.4,89.3
Male,173.6,89.7
Male,172.1,75.1
Male,190.6,105.6
Male,186.4,87.4
Male,176.7,87.2
Male,163.9,71.3
Male,171.6,74.2
Male,185.7,93.1
Male,169,77.8
Male,187.9,94.8
Male,180,95.1
Male,181.8,93.6
Male,167.2,80.4
Male,178.5,96
Male,156.9,67.8
Male,190.1,99.9
Male,181.9,87.3
Male,170.8,74.1
Male,180.1,90.6
Male,190.7,99.1
Male,185.7,101.2
Male,179.5,98.9
Male,170.5,77.7
Male,170.5,66.9
Male,176.6,77.1
Male,165.7,73
Male,173.8,84
Male,174.7,80.3
Male,172.6,85.7
Male,175.9,72.2
Male,173.9,85.3
Male,166.9,68.5
Male,176.4,78.2
Male,168,75.5
Male,180,84.5
Male,167.6,85.1
Male,164.9,74.3
Male,173.7,89.3
Male,176.6,86
Male,168.8,85.7
Male,176.5,80.4
Male,174.6,83.5
Male,187.4,100.4
Male,194.3,98.8
Male,180.9,90.3
Male,163.8,74.6
Male,168.9,74.1
Male,175.8,85.1
Male,161.4,68.2
Male,177.1,91.9
Male,174.3,82.4
Male,181.5,93.7
Male,176.6,92.5
Male,187.3,105.1
Male,173.4,88.5
Male,184,90.8
Male,179.8,88.6
Male,178.9,85.3
Male,175,88.3
Male,175.9,89.5
Male,170.9,70.9
Male,181.5,94.2
Male,174.9,78
Male,181.4,98.4
Male,178.2,86.4
Male,179.5,93.5
Male,174.1,91.2
Male,181.4,93.7
Male,165.7,72.1
Male,179.8,94.4
Male,177.2,85.2
Male,162.5,76.4
Male,178.6,89.3
Male,178.6,93.2
Male,171.2,74.6
Male,170.5,75.8
Male,173.7,76.7
Male,176.7,83.6
Male,158.8,76.3
Male,176.1,83.5
Male,169.6,78.1
Male,191.5,99.2
Male,178.3,86
Male,180.6,89.2
Male,177.3,82.4
Male,168.8,79.6
Male,179.6,94.7
Male,161.6,73.8
Male,179.2,86.8
Male,171.2,87.4
Male,181.4,96.8
Male,174.2,85
Male,181.5,92.3
Male,179.6,86.2
Male,181.3,89.5
Male,179,87.7
Male,189,102.8
Male,161,84
Male,173.7,77.7
Male,171.3,79.4
Male,179.9,89
Male,170.5,88.3
Male,172,83.7
Male,174.1,81.4
Male,174.3,87.4
Male,179.3,89.5
Male,170.4,74.5
Male,165.9,75.9
Male,177.6,84.3
Male,173.6,88
Male,180,93.4
Male,193.1,106.8
Male,172.6,80.3
Male,177.2,90.3
Male,176.7,91
Male,181.8,97.1
Male,180.2,91.5
Male,166.2,65.4
Male,180.3,91.9
Male,172.7,83.4
Male,179.1,90.5
Male,175.5,79.9
Male,181.9,88.4
Male,177.5,92.3
Male,168.8,75.6
Male,178.5,94.1
Male,159.1,69.3
Male,169.2,66.3
Male,166,71.1
Male,181.9,95.2
Male,176.3,83.4
Male,177.5,91.1
Male,166.8,74.5
Male,163.6,70.1
Male,174.3,85.9
Male,176.8,80.1
Male,171.3,78.6
Male,173.2,84
Male,176.7,92.4
Male,167,82.6
Male,185.7,91.5
Male,169.2,80.7
Male,175.6,91.9
Male,167.6,84.5
Male,170.7,84.1
Male,166.3,79.8
Male,185.5,95.1
Male,173.5,81.4
Male,168.5,75
Male,183.8,89.9
Male,172,83.9
Male,179,90.8
Male,180.8,90.5
Male,176.2,91.8
Male,178,91.6
Male,176,89.5
Male,160.8,71.2
Male,172.4,83.2
Male,185.9,92.1
Male,185.8,88
Male,180.1,88.7
Male,183.2,97.5
Male,183.2,83.5
Male,180.9,87.9
Male,168.3,77.2
Male,183.7,93.3
Male,172.9,75.4
Male,181.3,90
Male,166.9,77
Male,170.5,72.6
Male,183.4,93
Male,160,67.1
Male,176.7,82.1
Male,178.8,98.8
Male,172.8,85.9
Male,177.2,79.9
Male,157.7,59.1
Male,167.2,72.3
Male,179.8,87.1
Male,176.7,82.6
Male,171,85.4
Male,172.2,87
Male,169.4,73.8
Male,176.9,89.6
Male,164.5,82.8
Male,187.9,90.7
Male,172.6,83.6
Male,169.6,75.1
Male,175.1,80.1
Male,194.1,103.8
Male,175.3,81.8
Male,186.7,102.5
Male,176.8,86.1
Male,183.1,91.7
Male,179,81.2
Male,170.3,75.8
Male,168.1,78.3
Male,174.5,81.6
Male,169.3,72.6
Male,177.4,80.9
Male,168.3,70.1
Male,184.9,94.7
Male,163.8,76.9
Male,177.2,82.4
Male,179.5,92.5
Male,184.1,83.7
Male,173.2,90.6
Male,185.4,93.7
Male,179.2,89.2
Male,177.9,86.2
Male,175.3,89.3
Male,186.8,100.8
Male,173,81.7
Male,173.5,80.9
Male,181.7,92
Male,186.4,100.2
Male,177.4,90.1
Male,178.2,92.4
Male,168.4,68.1
Male,194.3,103
Male,180.4,84.7
Male,169.2,77.3
Male,167.8,82.7
Male,179.4,85
Male,165.6,72
Male,169.8,79.7
Male,187.3,100.1
Male,177.5,88.8
Male,176.6,85.7
Male,169.5,69.9
Male,175.4,81.4
Male,174.1,78.1
Male,178.6,86.4
Male,182.8,94.4
Male,180.1,87
Male,178.7,89.5
Male,172.2,86
Male,174.5,94.4
Male,175.6,85.6
Male,172,85
Male,181.1,98.8
Male,181.4,91.6
Male,180.5,92.8
Male,164.4,65
Male,170.6,82.6
Male,183.6,91.7
Male,178.4,87.5
Male,163.7,72.1
Male,189.1,96.8
Male,165.9,73.9
Male,184.8,96.2
Male,166.9,70.4
Male,175,88.3
Male,185.5,95
Male,177.4,90
Male,177.4,81.5
Male,182.3,87.4
Male,169.7,81.6
Male,172.2,86.4
Male,175.9,89
Male,175.1,82
Male,175.3,84.7
Male,168.6,76.1
Male,168.6,81.4
Male,175.4,82.3
Male,166.8,73.2
Male,159.4,67.9
Male,169.1,73.1
Male,170.9,85
Male,177.4,79.8
Male,188.5,108.2
Male,180.9,94.8
Male,179.7,88.4
Male,172.4,74.3
Male,170.5,82.8
Male,169,79.4
Male,170.4,82
Male,175,78.3
Male,182.6,94.2
Male,179.2,88
Male,175.8,85.2
Male,169.8,73.1
Male,196,103.7
Male,173.2,80
Male,169.7,84.8
Male,188.1,99.1
Male,177,83.7
Male,179,90.4
Male,168.2,74.7
Male,182.5,87.7
Male,167.6,77.6
Male,184.6,98.7
Male,177.3,85.3
Male,175.4,80.8
Male,162.2,68.9
Male,164.9,65.9
Male,165.2,67
Male,174.9,83.2
Male,177.8,80.9
Male,159.3,69.3
Male,170,78.8
Male,170.9,81.7
Male,183.2,90.9
Male,176.8,77.2
Male,165.6,75.6
Male,188.2,88.4
Male,155.2,69.3
Male,173.5,93.6
Male,162.4,74.7
Male,174.2,82.2
Male,164.9,83.9
Male,176.9,95
Male,180.6,89.5
Male,159.5,67.4
Male,179.9,91.3
Male,176.7,90.4
Male,170.3,85.5
Male,171.2,80.9
Male,176.2,78.7
Male,189.3,99.1
Male,169.1,78.6
Male,170.8,84.5
Male,167.6,74.9
Male,170.9,92.1
Male,172.5,73.3
Male,167.8,74.6
Male,167.2,77.5
Male,175.3,77.3
Male,178.6,87.3
Male,169,75.5
Male,181.5,89.1
Male,177.9,83.3
Male,174.3,85
Male,175.2,80.9
Male,187.4,100.9
Male,175.4,86.4
Male,185.9,92.6
Male,174.4,87.2
Male,164.9,81.4
Male,167.9,87.4
Male,172.1,77
Male,182.4,87.5
Male,175.8,84.2
Male,171.2,85.5
Male,177.5,81.5
Male,163.5,73.7
Male,171.4,83.2
Male,185.7,100.4
Male,171.8,85.7
Male,174.1,87
Male,179.6,97.2
Male,173.3,82.7
Male,172,74.4
Male,187.2,90
Male,174.9,85
Male,168.8,79.8
Male,177.7,85.6
Male,171.6,91.1
Male,188.7,95.2
Male,183.1,91.6
Male,176.7,82.9
Male,181.9,93.5
Male,170.5,78
Male,173.8,77.7
Male,198.4,116
Male,174.4,81.1
Male,177.9,84.5
Male,188.8,100.2
Male,183.5,91.7
Male,171.9,87.6
Male,168.7,71.3
Male,165.3,82
Male,175.7,93.7
Male,172.2,81.6
Male,173.3,88
Male,184.3,92.4
Male,188.1,96
Male,186,91.2
Male,185,96.3
Male,173.4,76.2
Male,178,93.9
Male,182.2,84.3
Male,174.4,78.4
Male,178.3,83.8
Male,170,82.7
Male,171.9,85.4
Male,172.5,76.5
Male,170.7,78.7
Male,170.2,80.8
Male,167.7,79
Male,172.2,87.1
Male,181.5,86.7
Male,178,86
Male,187.3,95.4
Male,168.6,72.3
Male,173.2,86.1
Male,173.4,79.9
Male,167.5,80.4
Male,169.9,77.3
Male,168.1,75.3
Male,186.2,105.3
Male,176,93.8
Male,182.3,90.9
Male,161.6,74.1
Male,183.3,85.7
Male,182.9,94.1
Male,173.1,78.7
Male,175.5,86.1
Male,170.7,77.1
Male,161.6,72.9
Male,182.2,95.7
Male,179,87.9
Male,185.1,98.6
Male,173.1,80.2
Male,177,92.2
Male,160,75.1
Male,182.3,96
Male,181.9,91.4
Male,180.5,91
Male,178.1,86
Male,178.9,93.7
Male,174.1,78.6
Male,181.2,100.3
Male,170.6,77
Male,185.7,99.7
Male,180.1,83
Male,182.7,89.8
Male,186.9,98.3
Male,177.3,92.2
Male,179.4,84
Male,168.4,67.3
Male,178.5,87.2
Male,180.3,93.7
Male,178.6,82.5
Male,181.6,96.5
Male,180.3,88.9
Male,169.4,70.4
Male,184.6,94.1
Male,168.9,82.5
Male,169.1,74.4
Male,169.5,84.1
Male,176,80.8
Male,173.5,80.9
Male,167.1,73.5
Male,178.1,98.6
Male,175.4,86.1
Male,180.1,89.5
Male,169.6,80.9
Male,174.2,80.8
Male,180.3,83.9
Male,160.5,69.7
Male,177.6,100.7
Male,172,79.6
Male,180.6,90.2
Male,178.1,85.9
Male,167.1,75.4
Male,181.6,91.9
Male,182.2,99.9
Male,181.5,96.8
Male,176.2,77.7
Male,178.2,86.9
Male,183.2,91
Male,181.9,94.7
Male,175.8,78.4
Male,180.6,85.7
Male,170.4,85.1
Male,193,101.8
Male,172.7,77.2
Male,176.2,89.5
Male,181.4,88.6
Male,179,90
Male,182.5,89.1
Male,184.7,88.6
Male,185.2,97
Male,182.3,91.3
Male,189.7,103.2
Male,171,71.2
Male,179.2,87.2
Male,165.6,76.9
Male,177.1,89.6
Male,182.2,97.9
Male,175.2,78.6
Male,165.2,73.9
Male,177.9,94.6
Male,180.4,91.6
Male,185.1,104.2
Male,182.7,91.9
Male,187.9,103
Male,166.8,75.5
Male,180,84.9
Male,173.1,82.1
Male,170.6,79.5
Male,180,89.7
Male,162.1,75.5
Male,170.1,75.5
Male,178.5,84.9
Male,178.6,84.4
Male,179.2,93
Male,176,85.9
Male,188.9,95.3
Male,169.9,84.5
Male,187,93.7
Male,175.5,85.8
Male,171.6,76.5
Male,159.8,65.4
Male,174.9,85.1
Male,176.8,87.8
Male,176.6,84.1
Male,175.5,85.4
Male,169.7,75.4
Male,180.6,91.8
Male,172.1,86.9
Male,169.1,73.5
Male,170.4,79.8
Male,176.7,87.7
Male,183.6,87.4
Male,175.8,84.4
Male,175.3,89.8
Male,166.2,76.1
Male,173.9,90.7
Male,182.8,90.7
Male,187.3,98.5
Male,179.2,88.1
Male,175.3,86.4
Male,187,107.4
Male,174,82.2
Male,162.8,68.8
Male,172.6,77.4
Male,179.9,89.5
Male,182,90.8
Male,171,71.9
Male,173.3,84.6
Male,166.3,75.6
Male,179.6,92.9
Male,170.6,79.2
Male,172.1,81
Male,173.9,84.1
Male,183.6,88.3
Male,166.1,72.4
Male,166.7,73.8
Male,176.4,81.7
Male,172.7,78
Male,182.1,87
Male,187,99.6
Male,170.9,80
Male,183.2,97.7
Male,174.3,88.1
Male,165.7,75.8
Male,168.5,75.3
Male,178,98.3
Male,169.3,77.7
Male,185.3,92.8
Male,189.9,95.1
Male,167.3,85.1
Male,169.2,73.7
Male,173.3,83.6
Male,176.9,86.8
Male,165.7,70.8
Male,169.1,82.2
Male,173.4,91.6
Male,175.3,77.2
Male,178,87.1
Male,180.6,81
Male,180.6,84.3
Male,174.1,81.9
Male,175.3,80.7
Male,169.9,85.1
Male,175,89.6
Male,173.7,88.5
Male,168.2,83
Male,164.3,71.2
Male,172.7,78.3
Male,164.4,68.1
Male,178,92.2
Male,168.8,74.5
Male,183.3,84.5
Male,164.1,71.8
Male,189,101.5
Male,181.1,86.2
Male,166.1,71.7
Male,172.9,77.6
Male,164.3,70.6
Male,176.8,86.9
Male,184,103.9
Male,169.5,74.8
Male,174.4,80.8
Male,176.7,90.5
Male,184.8,95.8
Male,176.5,92.1
Male,176.3,84.1
Male,167.1,67.7
Male,182.1,97.2
Male,168.5,72.7
Male,168.8,81.9
Male,179,89.4
Male,173,84.5
Male,167.2,75.1
Male,175.8,91.3
Male,185.1,91.3
Male,172.2,86.5
Male,177.9,87.6
Male,181.2,96.8
Male,181.5,95.2
Male,175.8,82.2
Male,172.8,77.4
Male,182.8,104.1
Male,181.2,90.6
Male,183.9,91.4
Male,153.3,60.8
Male,179,86
Male,182.2,87.6
Male,179.2,84.1
Male,185.7,93.8
Male,157.6,79.4
Male,175.5,80.1
Male,181.6,95
Male,179.3,93.3
Male,165.2,70.2
Male,172.5,89.1
Male,175,79.9
Male,179.6,90.2
Male,164,68.1
Male,180.3,81.3
Male,174.7,84.8
Male,166.1,64.7
Male,165.6,74.2
Male,177.6,84.1
Male,169.9,76.6
Male,170.8,75
Male,174,74.6
Male,172.1,84.4
Male,168.6,75.1
Male,178.3,88
Male,174.5,87.8
Male,179.8,92.7
Male,190.4,100.3
Male,168.5,78.6
Male,167.8,77.7
Male,169.8,77.1
Male,183.3,92.8
Male,173.4,86.4
Male,176.4,81
Male,178.9,86.1
Male,183.9,90.5
Male,175.8,84.3
Male,170.4,75
Male,178.7,80.5
Male,183.9,85.8
Male,179.3,93.6
Male,171.2,90.6
Male,186.5,102.6
Male,170.7,79.1
Male,188,97.7
Male,175,79.6
Male,162.2,76.2
Male,172.9,84.2
Male,172.2,81.6
Male,176.6,86
Male,173.7,82.7
Male,175,82.3
Male,177.2,88.3
Male,166.9,79.1
Male,168.2,82.1
Male,159.4,74
Male,170.5,80.6
Male,177.5,82.3
Male,171.9,80.7
Male,176.8,86.7
Male,177,80.4
Male,171.3,72.5
Male,173.1,85.3
Male,179,94.7
Male,180.3,87.1
Male,181,99.9
Male,174,84.6
Male,176,89.4
Male,164.1,63.6
Male,174.5,81.7
Male,173.5,79.8
Male,166.9,76.1
Male,172.3,69.4
Male,171.2,73.9
Male,167.9,74.2
Male,171.7,86.4
Male,168.3,86.9
Male,172,79.5
Male,175.4,83.5
Male,199.3,103.1
Male,179.4,90
Male,178.8,87.9
Male,172.4,80.2
Male,180,84.1
